model_id,model,quant,group,recommended_quant_view,size_gib,peak_rss_gib,pp_tokens_per_s,tg_tokens_per_s,phase2,phase3,phase4,phase5,phase6,phase7,developer_score,speed_score,capability_score,efficiency_score,overall_laptop_score,quality_per_gib
gemma3-1b-iq4xs,Gemma 3 1B IT,IQ4_XS,primary,False,0.6654,1.0165,72.1,14.05,55.84,75.0,0.0,39.79,14.67,55.56,26.9,63.59,34.48,70.79,39.93,51.82
gemma3-1b-q4km,Gemma 3 1B IT,Q4_K_M,quant_comparison,True,0.7507,0.9358,59.21,18.35,37.5,66.67,56.57,42.19,12.33,66.67,46.33,70.47,44.51,74.75,49.05,59.29
k2-0.9b-q4km,K2-Horizon-0.9B,Q4_K_M,primary,True,0.6204,1.115,94.83,21.69,65.0,83.33,8.57,77.08,54.0,44.44,44.63,92.22,51.85,86.46,57.05,83.58
k2-0.9b-q6k,K2-Horizon-0.9B,Q6_K,quant_comparison,False,0.8265,0.9272,51.21,14.25,61.66,75.0,31.07,87.5,50.0,55.56,49.93,56.59,56.54,66.06,57.97,68.4
lfm25-1.2b-q4km,LFM2.5-1.2B-Instruct,Q4_K_M,primary,True,0.6807,1.2059,88.0,20.48,71.66,75.0,30.57,75.0,4.0,77.78,35.93,86.53,47.63,80.51,52.56,69.97
llama32-1b-iq4xs,Llama 3.2 1B Instruct,IQ4_XS,primary,False,0.6921,0.8297,38.16,14.28,65.0,58.33,0.0,57.29,13.67,77.78,21.6,51.98,36.75,67.47,41.36,53.09
llama32-1b-q4km,Llama 3.2 1B Instruct,Q4_K_M,quant_comparison,True,0.7522,1.2813,90.67,19.15,61.66,75.0,0.0,55.73,14.0,66.67,26.7,83.93,38.07,77.09,43.92,50.6
qwen35-0.8b-q4km,Qwen3.5-0.8B,Q4_K_M,primary,True,0.5398,0.8334,111.22,22.39,71.66,50.0,32.0,72.08,38.67,88.89,39.4,100.0,52.41,99.88,59.53,97.1
qwen35-2b-iq4xs,Qwen3.5-2B,IQ4_XS,quant_comparison,False,1.1689,1.2726,26.8,8.61,75.0,75.0,83.43,83.33,94.0,77.78,84.07,32.7,82.7,42.78,76.71,70.75
qwen35-2b-q4km,Qwen3.5-2B,Q4_K_M,primary,True,1.3003,1.879,51.03,10.55,77.5,75.0,86.29,83.33,100.0,77.78,87.02,46.63,85.13,45.25,79.15,65.47
smollm3-3b-iq4xs,SmolLM3-3B,IQ4_XS,primary,True,1.6054,1.7822,13.44,7.56,82.5,66.67,76.0,44.06,23.0,100.0,57.3,25.09,61.3,31.37,56.81,38.18
smollm3-3b-q4km,SmolLM3-3B,Q4_K_M,quant_comparison,False,1.7838,3.1566,25.04,6.99,75.84,83.33,78.0,44.06,8.0,88.89,58.6,27.73,59.2,27.45,54.44,33.19
